pais,universidad,qs_rank_2026,programa_doctorado,facultad_escuela,clasificacion,url_programa,fuente_origen,para_revision
Alemania,University of Hamburg,193,Promotion Informatica / Data Science & AI,Department of Informatics / House of Computing and Data Science (HCDS),PARCIAL,https://www.inf.uni-hamburg.de/en/research.html,clasificacion (programa base),
Alemania,University of Hohenheim,711-720,"(sin doctorado CS/Ing en IA; AIDAHO es certificado transversal, no PhD)",Fac. agraria/ciencias de la vida + Economia (AIDAHO = certificado),NO_CUMPLE,https://aidaho.uni-hohenheim.de/en/structure,clasificacion (programa base),
Alemania,University of Jena (Friedrich Schiller),575,Promotion (Dr. rer. nat.) CS,Faculty of Mathematics and Computer Science (RTG Interactive Inference),PARCIAL,https://www.uni-jena.de/en/faculty-of-mathematics-and-computer-science,clasificacion (programa base),
Alemania,University of Kassel,501-600,Promotion (Dr.-Ing. / Dr. rer. nat.) CS,Department of Electrical Engineering / Computer Science (ITeG) - Intelligent Embedded Systems,PARCIAL,https://www.uni-kassel.de/eecs/en/sections/intelligent-embedded-systems/teaching.html,clasificacion (programa base),
Alemania,University of Kiel (Christian-Albrechts CAU),618,Promotion (Dr.-Ing.) CS,Faculty of Engineering - Department of Computer Science,PARCIAL,https://www.inf.uni-kiel.de/en,clasificacion (programa base),
Alemania,University of Konstanz,440,Promotion Computer and Information Science,Department of Computer and Information Science (DBVIS; ML),PARCIAL,https://www.informatik.uni-konstanz.de/,clasificacion (programa base),
Alemania,University of Mannheim,416,Promotion CS (Data Science / AI),School of Business Informatics and Mathematics - Data and Web Science Group (DWS),PARCIAL,https://www.uni-mannheim.de/dws/,clasificacion (programa base),
Alemania,University of Munster,350,Promotion estructurada/individual CS (grupos ML),Faculty of Mathematics and Computer Science - Department of Computer Science,PARCIAL,https://www.uni-muenster.de/forschung/en/promotion/strukturiertepromotion.html,clasificacion (programa base),
Alemania,University of Potsdam,477,Promotion CS (HPI Research School - curriculo doctoral estructurado),Digital Engineering Faculty / Hasso Plattner Institute (HPI Research School),CUMPLE,https://hpi.de/en/research/research-schools/,clasificacion (programa base),
Alemania,University of Regensburg,448,Promotion Informatics and Data Science,Faculty of Informatics and Data Science (FIDS),PARCIAL,https://www.uni-regensburg.de/en/informatics-data-science,clasificacion (programa base),
Alemania,University of Rostock,851-900,Promotion (Dr.-Ing.) CS,Faculty of Computer Science and Electrical Engineering (IEF),PARCIAL,https://www.ief.uni-rostock.de/en/,clasificacion (programa base),
Alemania,University of Stuttgart,310,Promotion CS - Linguistica Computacional (GRADUS),Faculty 5 Computer Science Electrical Eng and IT / IMS,PARCIAL,https://www.ims.uni-stuttgart.de/en/teaching/doctoral/,clasificacion (programa base),
Alemania,University of Tubingen (Eberhard Karls),215,IMPRS for Intelligent Systems / ELLIS PhD,Department of Computer Science / Tubingen AI Center (IMPRS-IS; ELLIS; Cyber Valley),CUMPLE,https://imprs.is.mpg.de/,clasificacion (programa base),
Alemania,University of Tubingen (Eberhard Karls),215,IMPRS for Intelligent Systems (escuela doctoral estructurada de IA),Tubingen AI Center / MPI-IS,CUMPLE,https://imprs.is.mpg.de/,EXTRA documentado,programa adicional
Alemania,University of Ulm,546,Collaborative Doctoral Programme Data Science & Analytics; RTG KEMAI,Faculty of Engineering Computer Science and Psychology - Institute of CS,CUMPLE,https://www.uni-ulm.de/en/research/research-foci/from-data-to-knowledge/,clasificacion (programa base),
Alemania,University of Wurzburg (JMU),416,Promotion CS (CAIDAS),Institute of Computer Science / CAIDAS Center for AI and Data Science,CUMPLE,https://www.caidas.uni-wuerzburg.de/,clasificacion (programa base),
España,IE University,1001-1200,(PhD solo en IE Business School - excluido; Sci-Tech: solo grado/master en CS-IA),School of Science and Technology (sin PhD propio),NO_CUMPLE,https://www.ie.edu/school-science-technology/,clasificacion (programa base),
España,UCAM Universidad Catolica San Antonio de Murcia,1201-1400,"Doctorado en Ingenieria Informatica (IA via UKEIM: PLN, multiagente, web semantica)",Escuela Politecnica (EIDUCAM; grupo UKEIM),PARCIAL,https://inf.ucam.edu/,clasificacion (programa base),
España,Universidad Autonoma de Madrid (UAM),206,Doctorado en Ingenieria Informatica y de Telecomunicacion,Escuela Politecnica Superior,CUMPLE,https://uam.es/EscuelaDoctorado/(es_ES)-Programa-Doctorado_Informatica_Teleco/1446860170757.htm,clasificacion (programa base),
España,Universidad Complutense de Madrid (UCM),250,Doctorado en Ingenieria Informatica,Facultad de Informatica (Dept. DISIA),CUMPLE,https://informatica.ucm.es/doctorado-ing-inf-99,clasificacion (programa base),
España,Universidad Europea de Madrid (UEM),901-950,Doctorado en Ingenieria de Control y Sistemas Inteligentes (Salud/Medioambiente),Escuela de Doctorado e Investigacion,PARCIAL,https://universidadeuropea.com/en/doctorate-programmes/,clasificacion (programa base),
España,Universidad Politecnica de Madrid (UPM),360,Doctorado en Inteligencia Artificial,ETSI Informaticos (Dept. DIA),CUMPLE,https://www.fi.upm.es/?pagina=1605,clasificacion (programa base),
España,Universidad Pontificia Comillas (ICAI),980,Doctorado en Ingenieria (Modeling Engineering Systems),ICAI (Instituto IIT; IA area estrategica),PARCIAL,https://www.comillas.edu/icai/ia/,clasificacion (programa base),
España,Universidad Rey Juan Carlos (URJC),850,Doctorado en Tecnologias de la Informacion y las Comunicaciones,ETSII,CUMPLE,https://www.urjc.es/estudios/programas-de-doctorado/513-programa-de-doctorado-en-tecnologias-de-la-informacion-y-las-comunicaciones,clasificacion (programa base),
España,Universidad de Alcala (UAH),680,Doctorado en Tecnologias de la Informacion y las Comunicaciones,Escuela Politecnica (grupos GRAM/ISCAR/GEINTRA),PARCIAL,https://master-artificialintelligence.com/,clasificacion (programa base),
España,Universidad de Alicante (UA),740,Doctorado en Informatica,EPS (Dept. DLSI; grupo NLP GPLSI),PARCIAL,https://dlsi.ua.es/,clasificacion (programa base),
España,Universidad de Cantabria (UC),551-650?,Doctorado en Ciencia y Tecnologia (linea CS/robotica/automatica),EDUC - Dept. Ing. Informatica y Electronica,PARCIAL,https://web.unican.es/centros/escuela-de-doctorado/oferta-de-programas-de-doctorado/detalle-programa-doctorado?pi=178,clasificacion (programa base),
España,Universidad de Castilla-La Mancha (UCLM),720,Doctorado en Tecnologias Informaticas Avanzadas,ESI Ciudad Real / ESII Albacete,PARCIAL,https://www.uclm.es/estudios/doctorados/tecnologias-informaticas-avanzadas,clasificacion (programa base),
España,Universidad de Cordoba (UCO),800,Doctorado en Computacion Avanzada Energia y Plasmas (linea informatica),EPS Cordoba (grupo KDIS),PARCIAL,https://www.uco.es/estudios/idep/menu-doctorado/programas-doctorado,clasificacion (programa base),
España,Universidad de Deusto,990,Doctorado en Ingenieria para la Sociedad de la Informacion y Desarrollo Sostenible,Facultad de Ingenieria (Instituto DeustoTech),PARCIAL,https://deusto.talentclue.com/en/node/76486601/4590,clasificacion (programa base),
España,Universidad de Granada (UGR),400,Doctorado en Tecnologias de la Informacion y la Comunicacion,ETSIIT (Dept. DECSAI),CUMPLE,https://doctorados.ugr.es/tic/,clasificacion (programa base),
España,Universidad de La Laguna (ULL),900,Doctorado en Ingenieria Industrial Informatica y Medioambiental,Escuela de Ing. Informatica,PARCIAL,https://www.ull.es/doctorados/ingenieria-informatica-medioambiental/en/,clasificacion (programa base),
España,Universidad de Las Palmas de Gran Canaria (ULPGC),950,Doctorado en Tecnologias de Telecomunicacion e Ingenieria Computacional (t2ic),EITE (Instituto SIANI),PARCIAL,https://www.siani.es/es/doctorados.html,clasificacion (programa base),
España,Universidad de Malaga (UMA),650,Doctorado en Ingenieria del Software e Inteligencia Artificial,ETSI Informatica (Instituto ITIS),CUMPLE,https://www.uma.es/etsi-informatica/,clasificacion (programa base),
España,Universidad de Murcia (UM),700,Doctorado en Informatica,Facultad de Informatica (grupo IA e Ing. del Conocimiento),CUMPLE,https://www.um.es/web/iuie/,clasificacion (programa base),
España,Universidad de Navarra (UNAV),365,Doctorado en Ingenieria Aplicada,TECNUN Escuela de Ingenieria (DATAI),CUMPLE,https://www.unav.edu/web/grado-en-ingenieria-en-inteligencia-artificial,clasificacion (programa base),
España,Universidad de Oviedo (UNIOVI),620,Doctorado en Informatica,Escuela de Ingenieria Informatica,CUMPLE,https://www.uniovi.es/en/estudia/doctorado/ingenieriayarquitectura/informatica,clasificacion (programa base),
España,Universidad de Salamanca (USAL),580,Doctorado en Inteligencia Artificial Aplicada,Escuela de Doctorado (grupo BISITE),CUMPLE,https://doctorado.usal.es/es/doctorado/inteligencia-artificial-aplicada,clasificacion (programa base),
España,Universidad de Salamanca (USAL),580,Doctorado en Ingenieria Informatica (ademas del de IA Aplicada),Esc. Doctorado (GRIAL/BISITE),CUMPLE,https://doctorado.usal.es/,EXTRA documentado,programa adicional
España,Universidad de Santiago de Compostela (USC),520,Doctorado en Investigacion en Tecnologias de la Informacion,ETSE (Centro CiTIUS),CUMPLE,https://www.usc.gal/en/studies/doctoral-programme/engineering-and-architecture/doctoral-programme-information-technology-research,clasificacion (programa base),
España,Universidad de Sevilla (US),500,Doctorado en Ingenieria Informatica (incl. Logica Computacion e IA),ETSII (EIDUS),CUMPLE,https://doctorado.us.es/estudios/programas-de-doctorado/ingenieria-informatica,clasificacion (programa base),
España,Universidad de Zaragoza (UNIZAR),430,Doctorado en Ingenieria de Sistemas e Informatica,EINA (Dept. DIIS; Instituto I3A),PARCIAL,https://estudios.unizar.es/estudio/ver-doct?id=7100,clasificacion (programa base),
España,Universidad del Pais Vasco (UPV/EHU),400,Doctorado en Ingenieria Informatica,Facultad de Informatica (Dept. CCIA; grupos IXA/GIB),CUMPLE,https://www.ehu.eus/es/web/ccia-kzaa/graduondoko-ikasketak,clasificacion (programa base),
España,Universidade da Coruna (UDC),560,Doctorado en Tecnoloxias da Informacion e as Comunicacions,Facultad de Informatica (Centro CITIC),CUMPLE,https://cigus.gal/en/centros/citic/,clasificacion (programa base),
España,Universidade de Vigo (UVigo),760,Doctorado en Tecnoloxias da Informacion e as Comunicacions,Escola de Eng. Telecomunicacion (Centro atlanTTic),PARCIAL,https://esei.uvigo.es/es/estudos/master-universitario-en-intelixencia-artificial/,clasificacion (programa base),
España,Universitat Autonoma de Barcelona (UAB),188,Doctorat en Informatica,Escola d'Enginyeria (IIIA-CSIC; Computer Vision Center),CUMPLE,https://www.uab.cat/en/phds/computer-science,clasificacion (programa base),
España,Universitat Jaume I (UJI),1001-1200,Doctorado en Informatica / Ciencias (Sistemas Inteligentes),ESTCE (Instituto INIT; Master Sistemas Inteligentes),PARCIAL,https://www.fue.uji.es/inteligenciaartificial,clasificacion (programa base),
España,Universitat Politecnica de Catalunya (UPC),260,Doctorat en Intel-ligencia Artificial,FIB (Institut IDEAI-UPC),CUMPLE,https://www.upc.edu/es/grados/inteligencia-artificial-barcelona-fib,clasificacion (programa base),
España,Universitat Politecnica de Valencia (UPV),300,Doctorado en Informatica,ETSINF (Institut VRAIN),CUMPLE,https://vrain.upv.es/,clasificacion (programa base),
España,Universitat Pompeu Fabra (UPF),290,Doctorat en Tecnologies de la Informacio i les Comunicacions,Departament DTIC (grup IA i ML),CUMPLE,https://www.upf.edu/web/ai-ml/prospective-students,clasificacion (programa base),
España,Universitat Ramon Llull (URL),970,Doctorat en TIC/Enginyeria (La Salle Campus BCN),La Salle-URL (grup Data Science i AI),PARCIAL,https://www.url.edu/en/programmes/phd-programmes,clasificacion (programa base),
España,Universitat Rovira i Virgili (URV),600,Doctorat en Enginyeria Informatica i Matematiques,ETSE (Dept. DEIM),PARCIAL,https://www.urv.cat/en/studies/,clasificacion (programa base),
España,Universitat de Barcelona (UB),160,Doctorat en Enginyeria i Tecnologies Avancades / Matematiques i Informatica,Fac. Matematiques i Informatica (+ Master en IA),PARCIAL,https://web.ub.edu/web/estudis/w/masterdegree-m0k05,clasificacion (programa base),
España,Universitat de Valencia (UV),340,Doctorado en Tecnologias de la Informacion Comunicaciones y Computacion,ETSE-UV (IPL; miembro AIDA),CUMPLE,https://valenciaplaza.com/valenciaplaza/la-uv-se-incorpora-a-la-academia-internacional-de-doctorado-en-inteligencia-artificial,clasificacion (programa base),
España,Universitat de les Illes Balears (UIB),820,Doctorado en Tecnologias de la Informacion y las Comunicaciones,Escola Politecnica (Unit UGIVIA; LAIA@UIB),CUMPLE,https://www.uib.eu/Learn/estudis-de-doctorat/doctorat/TTIN/desc.html,clasificacion (programa base),
Portugal,ISCTE - Instituto Universitario de Lisboa,711-720,PhD in Information Science and Technology,ISTA - DCTI (ISTAR),PARCIAL,https://iscte-iul.pt/course/53/phd-program-in-information-science-and-technology,clasificacion (programa base),
Portugal,Universidade Catolica Portuguesa,781-790,"(sin DOCTORADO Tec/Ing; ICCD ofrece licenciatura+master, no PhD)",ICCD Braga (solo grado/master en Ciencia de Datos),NO_CUMPLE,https://ffcs.braga.ucp.pt/pt-pt/iccd,clasificacion (programa base),
Portugal,Universidade NOVA de Lisboa (NOVA FCT),327,Doutoramento em Informatica (PhD Computer Science),NOVA FCT - DI (NOVA LINCS),CUMPLE,https://www.fct.unl.pt/en/education/course/phd-computer-science,clasificacion (programa base),
Portugal,Universidade NOVA de Lisboa (NOVA FCT),327,PhD in Information Management (Data Science) - NOVA IMS,NOVA IMS,CUMPLE,https://www.novaims.unl.pt/en/education/programs/doctoral-program-in-information-management/,EXTRA documentado,programa adicional
Portugal,Universidade de Aveiro (DETI),419,PhD Informatics/Computer Engineering (polo MAP),"DETI (IEETA, IT)",CUMPLE,https://www.ua.pt/pt/cursos/tipo/programas-doutorais,clasificacion (programa base),
Portugal,Universidade de Coimbra (DEI/FCTUC),347,Doutoramento em Engenharia Informatica,"FCTUC - DEI (CISUC, grupo bAI)",CUMPLE,https://www.uc.pt/en/fctuc/dei/ensino/doctoral_program/plano_estudos_phd,clasificacion (programa base),
Portugal,Universidade de Lisboa (Inst. Superior Tecnico),230,PhD Computer Science & Engineering / Electrical & Computer Engineering,Instituto Superior Tecnico (INESC-ID),CUMPLE,https://tecnico.ulisboa.pt/en/education/courses/phd-programmes/,clasificacion (programa base),
Portugal,Universidade de Lisboa (Inst. Superior Tecnico),230,PhD in Electrical and Computer Engineering,IST (INESC-ID/INESC),CUMPLE,https://tecnico.ulisboa.pt/en/education/courses/phd-programmes/,EXTRA documentado,programa adicional
Portugal,Universidade de Lisboa (Inst. Superior Tecnico),230,Doutoramento em Informatica (Fac. Ciencias - FCUL/LASIGE),FCUL (LASIGE),CUMPLE,https://ciencias.ulisboa.pt/,EXTRA documentado,programa adicional
Portugal,Universidade do Algarve,1001-1200,Doutoramento em Engenharia Informatica,FCT-UAlg,PARCIAL,https://fct.ualg.pt/en/curso/1566,clasificacion (programa base),
Portugal,Universidade do Minho,566,MAP-i / Doutoramento em Informatica,Escola de Engenharia (ALGORITMI),CUMPLE,https://algoritmi.uminho.pt/phd_programs/informatics/,clasificacion (programa base),
Portugal,Universidade do Porto (FEUP),237,ProDEI - Doctoral Program in Informatics Engineering,"FEUP (LIACC, INESC TEC)",CUMPLE,https://sigarra.up.pt/feup/en/cur_geral.cur_view?pv_curso_id=679,clasificacion (programa base),
Singapur,Nanyang Technological University (NTU),12,PhD in Computer Science & Engineering / Computing and Data Science,College of Computing and Data Science (CCDS),CUMPLE,https://www.ntu.edu.sg/education/graduate-programme/ccds-phd-cs-engineering,clasificacion (programa base),
Singapur,National University of Singapore (NUS),8,PhD in Computer Science,School of Computing,CUMPLE,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-computing/graduate-education/,clasificacion (programa base),
Singapur,Singapore Management University (SMU),511,PhD in Computer Science,School of Computing and Information Systems (SCIS),CUMPLE,https://computing.smu.edu.sg/phd/structure-curriculum,clasificacion (programa base),
Singapur,Singapore University of Technology and Design (SUTD),519,SUTD PhD Programme - pilar ISTD (pista de IA),Information Systems Technology and Design (ISTD),CUMPLE,https://www.sutd.edu.sg/programme-listing/istd-phd-programme/,clasificacion (programa base),
Estonia,Tallinn University,1001-1200,Doctorado en Information Society Technologies,School of Digital Technologies,PARCIAL,https://www.tlu.ee/en/dt/information-society-technologies,clasificacion (programa base),
Estonia,Tallinn University of Technology (TalTech),635,Doctorado en Information and Communication Technology,School of IT - Dept. of Software Science,PARCIAL,https://taltech.ee/en/doctoral-studies-it,clasificacion (programa base),
Estonia,University of Tartu,362,Doctorado en Mathematics and Computer Science (esp. Computer Science),Faculty of Science and Technology - Institute of Computer Science,PARCIAL,https://reaalteadused.ut.ee/en/sisu/doctoral-programme-mathematics-and-computer-science,clasificacion (programa base),
