id,iso,nombre,entidad,estado,bid,jrc2,kw,senales,match_conocido,triage,resumen
849,BR,Chatbot Governo do Acre,Governo do Acre,En funcionamiento,Participación ciudadana e interacción con ciudadanos,Personalización del servicio,Chatbot,BID,,fuera (atención ciudadana / servicio),"El Gobierno de Acre inició a implementar un chatbot con el objetivo de “proporcionar información sobre los servicios disponibles de la entidad” (Governo do Estado do Acre, 2025). El chatbot funciona con inteligencia artificial (IA) y es capaz de responder a preguntas abiertas relacionadas con “servicios relacionados con documentos, autorizaciones, certificados, plazo, costo, entre otros” (Governo do Estado do Acre, 2025)."
867,BR,Clara - Assistente Virtual,Governo do Estado de Rondônia,En funcionamiento,Participación ciudadana e interacción con ciudadanos,Personalización del servicio,Chatbot,BID,,fuera (atención ciudadana / servicio),"“Clara” es la asistente virtual institucional del Gobierno del Estado de Rondônia desarrollada con el objetivo de “facilitar la búsqueda de información sobre la transparencia pública del Estado”(Portal da transparencia do Estado de Rondonia, 2025). El asistente opera “con inteligencia artificial […] y puede responder directamente a preguntas sobre el Portal de Transparencia”(Portal da transparencia do Estado de Rondonia, 2025)."
763,CL,Asistente de argumentación,Cámara de Diputados de Chile,Pilotaje,Justicia,Procesos primarios internos,Chatbot,texto,,REVISAR (núcleo de participación),"El sistema tiene como objetivo ""argumentar o contraargumentar un texto legislativo"" mediante el uso de inteligencia artificial, como parte de la plataforma CAMINAR. Para ello, el sistema permite que un ""parlamentario o funcionario introduzca un texto; el sistema analiza su contenido semántico, identifica sus fundamentos jurídicos y genera automáticamente argumentos a favor o en contra, basándose en precedentes legales, normas vigentes y principios constitucionales."""
779,CL,Adelita sin delito,Consejo Ciudadano para la Seguridad y Justicia de la Ciudad de México (CCSCDMX),En funcionamiento,Participación ciudadana e interacción con ciudadanos,Personalización del servicio,Chatbot,BID,,fuera (atención ciudadana / servicio),"El chatbot “Adelita Sindelito” tiene el objetivo de fortalecer el “proceso de denuncia y recaudo de evidencia necesario para el registro de delitos”(Renetería et al.,2025). El sistema recibe disponible 24/7 es capaz de recibir “reportes de la ciudadanía sobre robo, extorsión, violencia familiar, maltrato animal, ilícitos cibernéticos, Trata de Personas, entre otros”(Consejo Ciudadano para la Seguridad y Justicia de la Ciudad de México, 2021)."
791,CL,Clave Única de Registro de Población (CURP) biométrica // Plataforma Única de Identidad,Gobierno de México //Agencia de Transformación Digital y Telecomunicaciones,En funcionamiento,Participación ciudadana e interacción con ciudadanos,Procesos de reconocimiento inteligente,Reconocimiento facial,BID,,fuera (biometría/seguridad electoral/fraude),"La Clave Única de Registro de Población (CURP) biométrica es una plataforma de carácter obligatorio, tanto para adultos como menores de edad, que tiene el objetivo de “fortalecer el sistema de identificación ciudadana […] para realizar trámites oficiales, jurídicos y administrativos”(Debate México, 2025). La nueva versión biométrica incorpora elementos como: “(i) huellas dactilares digitalizadas; (ii) reconocimiento facial; (iii) escaneo del iris; (iv) firma electrónica”(El Cronista, 2025). Este registro es obligatorio para acceder a la herramienta ""LLAVE MX"" que permite acceder a servicios y programas sociales(González, 2025). Adicionalmente, “la plataforma se podrá interconectar con otras bases de datos: Registro Nacional de Personas Desaparecidas y no Localizadas, el Banco Nacional de Datos Forenses y Registros Administrativos” (El Financiero, 2025)."
138,CO,Keepcon,"Alcaldía Mayor de Bogotá
Secretaría General",En funcionamiento,Participación ciudadana e interacción con ciudadanos,Gestión de la participación,Reconocimiento de patrones,BID+JRC-gestión-particip,,fuera (PQRS/gestión de quejas),"Keepcon es un sistema diseñado para hacer seguimiento a comentarios en las redes sociales de la entidad, con el fin de optimizar la clasificación de las peticiones, quejas, reclamos, sugerencias y denuncias (PQRs) que se reciben a través de estas redes y, con ello, reducir el tiempo de respuesta."
482,CO,"Reconocimiento para clasificar PQRS

[Nota de editores: Sin especificación del nombre por parte de la entidad]","Empresas Públicas de Medellín
 (EPM)",Piloto no escalado,Participación ciudadana e interacción con ciudadanos,Procesos internos de apoyo,Clasificación,BID,,fuera (PQRS/gestión de quejas),"Este sistema “clasifica las PQRs que ingresan por el portal Web para identificar si se trata de una Petición Administrativa o Técnica, una Queja, un Recurso o un Reclamo de algún tipo específico” con el propósito de “disminuir el tiempo empleado en dar respuesta a algunas PQRs de los usuarios [y] reducir carga de trabajo de los analistas comerciales” (F583)."
486,CO,Clasificación de PQRs - Modelos de Extracción de Entidades de Servicio y Meses.,"Empresas Públicas de Medellín
 (EPM)",Suspendido,Participación ciudadana e interacción con ciudadanos,Gestión de la participación,Clasificación,BID+JRC-gestión-particip,,fuera (PQRS/gestión de quejas),Este sistema “extrae los nombres de los meses del año y nombre de los servicios ofrecidos por Epm desde el texto de la PQR” con el propósito de “disminuir el tiempo empleado en dar respuesta a algunas PQRs de los usuarios [y] reducir carga de trabajo de los analistas comerciales” (F583). El sistema está suspendido.
497,CO,Reclamos - Clasificación clientes reincidentes de reclamos,"Empresas Públicas de Medellín
 (EPM)",En funcionamiento,Gestión gubernamental,Gestión de la participación,Clasificación,JRC-gestión-particip,,fuera (PQRS/gestión de quejas),"Este sistema “analiza aquellos clientes que realizan más de 2 reclamaciones a EPM en una línea de tiempo de 12 meses para identificar los resultados de dichas reclamaciones, analiza además los valores rebajados en estos casos” (F789) con el fin de “disminuir la cantidad de reclamaciones presentadas” (F583)."
552,CO,PQRS con Inteligencia Artificial - DIAN,"Dirección de Impuestos y Aduanas Nacionales
 (DIAN)",En funcionamiento,Gestión gubernamental,Gestión de la participación,Clasificación,JRC-gestión-particip,,fuera (PQRS/gestión de quejas),"Este sistema fue diseñado para automatizar la asignación de Peticiones, Quejas, Reclamos y Sugerencias (PQRS) a las diferentes áreas de la entidad, con el fin de reducir los tiempos de respuesta y hacer seguimiento a las solicitudes."
575,CO,Inteligencia artificial en procesos de identificación,Registraduría Nacional del Estado Civil,En funcionamiento,Seguridad ciudadana,Procesos de análisis de la información,Detección de anomalías,texto,,fuera (atención ciudadana / servicio),"Este sistema es desarrollado con el fin de “detectar posibles irregularidades en el trámite de inscripción en el registro civil. Entre las irregularidades que se pueden detectar se encuentran un elevado número de registros de hijos con diferentes parejas, participación excesiva como testigo o declarante, o la aparición de registros en diferentes zonas del país.” (F1021)"
621,CO,Modelo de análisis de sentimientos en redes sociales con un modelo de minería de datos y machine learning.,"Instituto colombiano de Crédito Educativo y Estudios Técnicos en el Exterior 
(ICETEX)",Piloto no escalado,Participación ciudadana e interacción con ciudadanos,Procesos de análisis de la información,Clasificación,BID,,revisar (señal débil),"Este sistema fue desarrollado para, a partir de un modelo de minería de datos, machine learning, y de la información que se publica sobre la entidad en redes sociales y medios de comunicación, analizar cuál es la opinión de los ciudadanos sobre la entidad o sobre algún programa o política en particular."
629,CO,Atención de peticiones a través de redes sociales// Bogotá Te Escucha,"Alcaldía Mayor de Bogotá
Secretaría General",En funcionamiento,Participación ciudadana e interacción con ciudadanos,Personalización del servicio,Reconocimiento de patrones,BID,,fuera (PQRS/gestión de quejas),"Este sistema utiliza “algoritmos de procesamiento de lenguaje natural (inteligencia artificial) para identificar y clasificar publicaciones en redes sociales (que puedan ser consideradas como Peticiones, Quejas, Reclamos y Sugerencias – PQRS) que requieran la atención de la administración distrital y que deben ser atendidos por los mismos medios en los que se presentan"" (F583)."
665,CO,Sentencias Para La Gente IA,"Comisión Nacional de Disciplina Judicial
 (CNDJ)",En funcionamiento,Justicia,Gestión de la participación,Reconocimiento de patrones,JRC-gestión-particip,,revisar (señal débil),"Este sistema utiliza inteligencia artificial para crear videos cortos que resumen determinadas sentencias judiciales, haciéndolas accesibles a un público más amplio. Los videos incluyen avatares digitales que explican el contenido legal de forma clara y dinámica."
945,CO,Modelo de Detección de Fraude del GADIA,Registraduría Nacional del Estado Civil,En funcionamiento,Electoral,Procesos de reconocimiento inteligente,Detección de anomalías,texto,,fuera (biometría/seguridad electoral/fraude),"El Modelo de Detección de Fraude del Grupo de Analítica de Datos e Inteligencia Artificial (GADIA) de la Registraduría Nacional del Estado Civil de Colombia tiene como objetivo ""mitigar la suplantación de identidad, los fraudes en la expedición de documentos y contribuir con la depuración del censo electoral"" (Registraduría Nacional, 2025a). El sistema busca ""detectar posibles irregularidades en el trámite de inscripción en el registro civil"" (Infobae, 2024) mediante el Centro de Analítica de Datos de la entidad, con la finalidad de ""generar alertas tempranas y fortalecer la transparencia de los diferentes certámenes democráticos"" (El Tiempo, 2024a) y ""garantizar la integridad y seguridad tanto en el ámbito electoral como en el de identificación"" (Ámbito Jurídico, 2024).

Para lograr estos objetivos, el GADIA procesa las bases de datos de biometría, identificación y registro civil de los colombianos mediante un ""modelo de análisis de registro civil e identificación"" (El Colombiano, 2025) desarrollado por la Registraduría que cruza información para detectar inconsistencias y patrones de fraude. El sistema analiza registros civiles de nacimiento y expedición de documentos de identidad identificando irregularidades como ""un elevado número de registros de hijos con diferentes parejas, participación excesiva como testigo o declarante, o la aparición de registros en diferentes zonas del país"" (Registraduría Nacional, 2024), expedición de cédulas ""utilizando registros civiles que no tenían asignado un número de identificación como lo establece la normatividad"" (Registraduría Nacional, 2025a), y ""patrones de fraude que a simple vista podrían pasar desapercibidos"" (El Tiempo, 2025). El modelo tecnológico ""generará alertas semanales para que la Dirección Nacional de Registro Civil adelante investigaciones y realice seguimientos con las registradurías del territorio nacional donde se identifiquen estos casos"" (El Colombiano, 2025), coordinando con entidades como la Fiscalía General de la Nación y Migración Colombia para las investigaciones pertinentes."
226,DO,Chatbot de inteligencia artificial (IA) para el programa Libro Abierto,Ministerio de Educación de la República Dominicana (Minerd),En funcionamiento,Participación ciudadana e interacción con ciudadanos,Personalización del servicio,Chatbot,BID,,fuera (atención ciudadana / servicio),"El Ministerio de Educación de la República Dominicana (Minerd) desde marzo de 2024 implementó un chatbot para el programa Libro Abierto, “el cual permitirá a los estudiantes enriquecer su proceso educativo con preguntas puntuales sobre dudas o inquietudes de los libros de texto o áreas educativas” (Redacción Listín Diario, 2024), además también se espera que resuelva preguntas “sobre tareas o actividades de clase” (Ministerio de Educación, 2024)."
187,MX,MARCia - Inteligencia artificial para marcas,Instituto Mexicano de la Propiedad Industrial (IMPI),En funcionamiento,Participación ciudadana e interacción con ciudadanos,Procesos de reconocimiento inteligente,Reconocimiento de patrones,BID,,revisar (señal débil),"“MARCia es un sistema de consulta externa sobre información de marcas que incluye solicitudes, registros o publicaciones de signos distintivos presentados ante el Instituto Mexicano de la Propiedad Industrial” (IMPI, 2024). En la página web de MARCia se aclara que este “sistema solo realiza búsquedas en la base de datos de registros nacionales y solicitudes tramitadas en México” y que “[l]as búsquedas con inteligencia artificial no son infalibles” (IMPI, 2024)."
309,MX,Reconocimiento facial aplicado a la investigación Guanajuato,Fiscalía General del Estado de Guanajuato,En funcionamiento,Participación ciudadana e interacción con ciudadanos,Procesos de reconocimiento inteligente,Reconocimiento facial,BID,,fuera (biometría/seguridad electoral/fraude),"Sistema de la Fiscalía General del Estado de Guanajuato utilizado para “que lleve a cabo la identificación de personas mediante los datos biométricos de su rostro de manera rápida y segura, ya sea que fuese necesario esclarecer la identidad de un cadáver que haya llegado al Servicio Médico Forense en calidad de No Identificado, o determinar si una persona en particular es alguno de los objetivos clave de una investigación” (Netmedia, 2020)."
368,MX,INÉS,Instituto Nacional Electoral (INE),En funcionamiento,Participación ciudadana e interacción con ciudadanos,Personalización del servicio,Chatbot,BID,,fuera (atención ciudadana / servicio),"“En el 2021, el INE creó a la asistente virtual “Inés” con el objetivo de ofrecer a la ciudadanía, una canal de comunicación directa y accesible para brindar información y orientación sobre temas relacionados con el proceso electoral, mediante un chatbot de WhatsApp. Su principal función fue la de proporcionar respuestas automatizadas sobre cómo votar, dónde ubicar la casilla electoral, requisitos para emitir el voto, entre otros aspectos relevantes de la elección. Para las elecciones en curso [2024], Inés se sumó a la iniciativa “Certeza INE 2024” un proyecto del Instituto Nacional Electoral que tiene como objetivo combatir la desinformación a través del uso de Inteligencia Artificial.” (INE, 2024)
Este sistema fue reportado en la base de datos de “Algoritmos CIDE” del Centro de Investigación y Docencia Económicas (CIDE)."
711,MX,"Quío, tu guIA de información útil","Instituto de Transparencia, Acceso a la Información Pública y Protección de Datos Personales del Estado de México y Municipios (Infoem)",En funcionamiento,Participación ciudadana e interacción con ciudadanos,Personalización del servicio,Chatbot,BID,,fuera (atención ciudadana / servicio),"En 2022 se lanzó Quío “una interfaz interactiva y amigable”, para que “los usuarios puedan hacer consultas en lenguaje natural, localizar información de interés de forma efectiva, y recibir respuestas rápidas y precisas; además, Quío guía a los usuarios en procesos y servicios de manera eficiente” (Infoem, 2024)."
937,MX,Mecanismo de verificación de datos biométricos para observadores,Instituto Nacional Electoral (INE),En funcionamiento,Electoral,Procesos predictivos de cumplimiento de la ley,Reconocimiento facial,texto,,fuera (biometría/seguridad electoral/fraude),"El Mecanismo de Verificación de Datos Biométricos para Observadores Electorales implementado por el Instituto Nacional Electoral (INE) tiene como objetivo ""evitar la 'infiltración partidista' en esta actividad ciudadana"" (La Jornada, 2025a) y ""garantizar que la participación por vía de la observación ciudadana se conduzca bajo los principios de imparcialidad, certeza, legalidad"" (La Jornada, 2025a), ante el incremento ""notorio y atípico"" de solicitudes para ser observadores en la elección judicial del Poder Judicial de la Federación 2024-2025 (La Jornada, 2025a).

Para lograr este objetivo, el mecanismo de verificación biométrica, aprobado mediante el Acuerdo INE/JGE82/2025 del 26 de abril de 2025 (Repositorio Documental INE, 2025a), ejecuta la ""confronta[ción de] la fotografía del rostro que aparece en la credencial de elector enviada por los peticionarios con los datos registrados en el Registro Federal de Electores"" (Eje Central, 2025). El sistema utiliza las bases de datos del Padrón Electoral administradas por la Dirección Ejecutiva del Registro Federal de Electores (DERFE) y la Unidad Técnica de Servicios de Informática (UTSI) para generar resultados de autenticación de identidad y reportes de detección de irregularidades que identifican ""correos electrónicos atípicos"" y ""nombres idénticos de precandidatos y candidatos de la elección"" (La Jornada, 2025b), contribuyendo a ""minimizar riesgos como la suplantación de identidad y la infiltración partidista en actividades que deben ser estrictamente ciudadanas y apartidista"" (Eje Central, 2025)."
218,PE,AnemiaApp: detección temprana de la anemia,Ministerio de Desarrollo e Inclusión Social de Perú (MIDIS),En funcionamiento,Participación ciudadana e interacción con ciudadanos,Apoyo a los procesos de inspección,Detección de anomalías,BID,,revisar (señal débil),"“El Ministerio de Desarrollo e Inclusión Social de Perú (MIDIS) y la Universidad Peruana Cayetano Heredia colaboraron en el desarrollo de AnemiaApp, una aplicación que permite la detección rápida y oportuna de anemia en los niños. Basada en un sistema portátil de bajo costo, esta aplicación para celulares interpreta imágenes digitales del ojo del individuo y analiza las características de la membrana que recubre la superficie exterior. Los resultados se transmiten a un servicio de procesamiento automático que usa algoritmos de redes neuronales para determinar el nivel de hemoglobina y, de esa forma, la presencia o ausencia de anemia.” (OECD & CAF, 2022, p. 50)."
222,PE,Servicio de tomografía con Inteligencia Artificial,Hospital de Lima Este-Vitarte,En funcionamiento,Participación ciudadana e interacción con ciudadanos,Procesos de análisis de la información,Reconocimiento de objetos,BID,,revisar (señal débil),"“El 10 de octubre entr[ó] en funcionamiento en el Hospital de Lima Este-Vitarte el nuevo Servicio de Tomografía de última generación, interconectado con la Inteligencia Artificial (IA), que permit[e] cubrir con mayor eficiencia y calidad la demanda de esta parte de la ciudad capital”, además “se trata de un tomógrafo que disminuye las interferencias por los metales” (Comunicaciones HLEV, 2024)."
249,UY,ChatBot para resolver solicitudes de la división Capital Humano del Banco de Seguros del Estado,Banco de Seguros del Estado,En funcionamiento,Participación ciudadana e interacción con ciudadanos,Procesos internos de apoyo,Chatbot,BID,,fuera (atención ciudadana / servicio),"Chatbot del Banco de Seguros del Estado (BSE), implementado “a través de Microsoft Teams” “para resolver [las] consultas que recibe la división [de] Capital Humano […] relativa a las reglamentaciones vigentes […] en el BSE” (Agesic, 2024)."
842,BR,Esperanza Asistente Virtual,"Instituto de Planeación, Estadística y Geografía del Estado de Guanajuato  (IPLANEG)",En funcionamiento,Participación ciudadana e interacción con ciudadanos,Personalización del servicio,Chatbot,BID,chatbot asistente virtual entrenado con ia,YA IDENTIFICADO,"“Esperanza” es el asistente virtual implementado por el Gobierno de Guanajuato, cuyo objetivo es “facilitar el acceso a información gubernamental y predecir necesidades en beneficio de la población […] en el marco del Programa de Gobierno 2024-2030”(Contra Replica, 2025). Se espera que el asistente permita proporcionar información personalizada y modelos predictivos para diseñar políticas públicas más efectivas […] en ejes fundamentales como seguridad, igualdad, transparencia, educación y prosperidad económica” (Contra Replica, 2025). El sistema opera “con inteligencia artificial y está diseñado para interactuar con los ciudadanos de forma sencilla y clara, respondiendo a las preguntas sobre ejes estratégicos, las acciones y las prioridades ciudadanas del gobierno” (Guanajuato Inteligente, 2025)"
139,CO,"CHATICO
(Plataforma Omnicanal de Gobierno Abierto de Bogotá)","Alcaldía Mayor de Bogotá
Secretaría de Planeación",En funcionamiento,Participación ciudadana e interacción con ciudadanos,Gestión de la participación,Chatbot,BID+JRC-gestión-particip+texto,chatico,YA IDENTIFICADO,"Chatico es un agente virtual que ofrece información 24/7 sobre la oferta institucional y asistencial del Distrito, los trámites y servicios digitales, las fechas de corte de agua por sector, entre otros temas, con el fin de descongestionar los puntos físicos de atención. Además, Chatico permite conocer y participar en campañas que buscan solucionar retos públicos (causas ciudadanas y presupuestos participativos)."
189,MX,Sam Petrino,Secretaría de Innovación y Participación Ciudadana del Gobierno municipal de San Pedro Garza García,En funcionamiento,Territorio y habitat,Personalización del servicio,Chatbot,texto,chatbot sam petrino,YA IDENTIFICADO,"Sam Petrino es “el sistema de atención ciudadana vía WhatsApp y Facebook chat para reportes, quejas y solicitudes de información” del municipio de San Pedro Garza García en Nuevo León, México (Civica Digital, 2024). Este chatbot “comenzó a operar en Febrero de 2020” con el propósito de “incrementar la participación ciudadana y mejorar la transparencia” además de “hacer reportes o solicitudes de información sobre una variedad de áreas, desde luminarias y semáforos hasta baches y limpieza o recolección de basura” (Civica Digital, 2024)."
