"pais","cod","universidad","qs_rank_2026","confianza_rank","fuente_rank"
"España","ES","Universidad Europea de Madrid (UEM)","901-950","Media (debut confirmado)","prensa QS; universidadeuropea.com"
"España","ES","Universitat Jaume I (UJI)","1001-1200","Media (debut confirmado)","prensa QS"
"España","ES","IE University","1001-1200","Aprox","verificar en QS ?countries=es"
"España","ES","UCAM Universidad Catolica San Antonio de Murcia","1201-1400","Media (debut confirmado)","prensa QS"
"España","ES","Universidad de Cantabria (UC)","600-800?","DUDOSA membresia","verificar/sustituir (Girona/Lleida/UPNA/Cartagena/Jaen/Almeria)"
"Alemania","DE","Technical University of Munich (TUM)","22","Media-Alta","search QS 2026 top DE"
"Alemania","DE","Ludwig Maximilian University of Munich (LMU)","58","Media-Alta","search QS 2026 top DE"
"Alemania","DE","Heidelberg University","80","Media-Alta","search QS 2026 top DE"
"Alemania","DE","Free University of Berlin (FU Berlin)","88","Media-Alta","search QS 2026 top DE"
"Alemania","DE","RWTH Aachen University","90","Media-Alta","search QS 2026 top DE"
"Alemania","DE","Karlsruhe Institute of Technology (KIT)","98","Media-Alta","search QS 2026 top DE"
"Alemania","DE","Technical University of Berlin (TU Berlin)","106","Media","search QS 2026"
"Alemania","DE","Humboldt University of Berlin (HU Berlin)","130","Media","search QS 2026"
"Alemania","DE","University of Hamburg","193","Media","search QS 2026"
"Alemania","DE","University of Freiburg","201","Media","uni-freiburg.de QS Europe 2026"
"Alemania","DE","University of Bonn","207","Media","search QS 2026"
"Alemania","DE","University of Tubingen","215","Media","search QS 2026"
"Alemania","DE","TU Dresden","218","Media","search QS 2026"
"Alemania","DE","FAU Erlangen-Nurnberg","232","Aprox","verificar en QS ?countries=de"
"Alemania","DE","University of Gottingen","243","Media","search QS 2026"
"Alemania","DE","TU Darmstadt","253","Media","search QS 2026"
"Alemania","DE","University of Cologne","272","Aprox","verificar en QS ?countries=de"
"Alemania","DE","University of Stuttgart","310","Aprox","verificar en QS ?countries=de"
"Alemania","DE","Goethe University Frankfurt","316","Aprox","verificar en QS ?countries=de"
"Alemania","DE","University of Munster","350","Aprox","verificar en QS ?countries=de"
"Alemania","DE","Ruhr University Bochum (RUB)","395","Aprox","verificar en QS ?countries=de"
"Alemania","DE","University of Wurzburg (JMU)","416","Aprox","verificar en QS ?countries=de"
"Alemania","DE","University of Mannheim","416","Aprox","verificar en QS ?countries=de"
"Alemania","DE","Leibniz University Hannover","433","Aprox","verificar en QS ?countries=de"
"Alemania","DE","University of Konstanz","440","Aprox","verificar en QS ?countries=de"
"Alemania","DE","University of Bayreuth","448","Aprox","verificar en QS ?countries=de"
"Alemania","DE","University of Regensburg","448","Aprox","verificar en QS ?countries=de"
"Alemania","DE","Johannes Gutenberg University Mainz (JGU)","452","Aprox","verificar en QS ?countries=de"
"Alemania","DE","University of Potsdam","477","Aprox","verificar en QS ?countries=de"
"Alemania","DE","Justus Liebig University Giessen (JLU)","496","Aprox","verificar en QS ?countries=de"
"Alemania","DE","University of Kassel","501-600","Aprox","verificar en QS ?countries=de"
"Alemania","DE","University of Bremen","530","Aprox","verificar en QS ?countries=de"
"Alemania","DE","Leipzig University","535","Aprox","verificar en QS ?countries=de"
"Alemania","DE","University of Ulm","546","Aprox","verificar en QS ?countries=de"
"Alemania","DE","University of Jena (Friedrich Schiller)","575","Aprox","verificar en QS ?countries=de"
"Alemania","DE","Paderborn University","601-650","Aprox","verificar en QS ?countries=de"
"Alemania","DE","University of Kiel (CAU)","618","Aprox","verificar en QS ?countries=de"
"Alemania","DE","Saarland University (Saarbrucken)","635","Media","search QS 2026"
"Alemania","DE","TU Dortmund","673","Aprox","verificar en QS ?countries=de"
"Alemania","DE","TU Braunschweig","711-720","Aprox","verificar en QS ?countries=de"
"Alemania","DE","University of Hohenheim","711-720","Aprox","verificar en QS ?countries=de"
"Alemania","DE","Martin Luther University Halle-Wittenberg","751-760","Aprox","verificar en QS ?countries=de"
"Alemania","DE","Philipps University Marburg","771-780","Aprox","verificar en QS ?countries=de"
"Alemania","DE","University of Duisburg-Essen (UDE)","801-850","Aprox","verificar en QS ?countries=de"
"Alemania","DE","Heinrich Heine University Dusseldorf (HHU)","851-900","Aprox","verificar en QS ?countries=de"
"Alemania","DE","University of Rostock","851-900","Aprox","verificar en QS ?countries=de"
"Alemania","DE","Bielefeld University","1001-1200","Aprox","verificar en QS ?countries=de"
"Alemania","DE","University of Augsburg","1001-1200","Aprox","verificar en QS ?countries=de"
"Alemania","DE","RPTU Kaiserslautern-Landau","1201-1400","Aprox","verificar; posible debut TUHH a cotejar"
